order_id,user_id,product_id,order_date,quantity,unit_price,discount_amount,gross_amount,refund_amount,net_sales,cost,status,currency,data_source_type
O00000793,U009307,P00682,2025-01-01,1,198.0,10.45,198.0,0.0,187.55,106.67,completed,TWD,synthetic
O00000943,U008893,P00093,2025-01-01,2,255.0,48.04,510.0,0.0,461.96,293.03,completed,TWD,synthetic
O00001229,U000022,P00165,2025-01-01,2,790.0,73.52,1580.0,0.0,1506.48,766.61,completed,TWD,synthetic
O00001376,U000050,P00538,2025-01-01,2,183.0,10.09,366.0,0.0,355.91,240.42,completed,TWD,synthetic
O00001412,U006092,P00315,2025-01-01,1,476.0,36.51,476.0,0.0,439.49,231.74,completed,TWD,synthetic
O00001879,U004798,P00178,2025-01-01,1,493.0,28.14,493.0,0.0,464.86,288.18,completed,TWD,synthetic
O00002119,U003368,P00223,2025-01-01,1,583.0,6.58,583.0,0.0,576.42,286.39,completed,TWD,synthetic
O00002128,U000712,P00419,2025-01-01,1,289.0,18.56,289.0,0.0,270.44,165.5,completed,TWD,synthetic
O00002690,U006237,P00229,2025-01-01,1,391.0,0.0,391.0,0.0,391.0,188.58,completed,TWD,synthetic
O00002984,U002078,P00187,2025-01-01,2,401.0,5.51,802.0,0.0,796.49,423.45,completed,TWD,synthetic
O00003089,U007466,P00432,2025-01-01,1,1162.0,42.94,1162.0,0.0,1119.06,640.27,completed,TWD,synthetic
O00004495,U009206,P00739,2025-01-01,2,327.0,7.12,654.0,0.0,646.88,378.84,completed,TWD,synthetic
O00004809,U009959,P00656,2025-01-01,3,333.0,69.56,999.0,0.0,929.44,505.82,completed,TWD,synthetic
O00005457,U000332,P00352,2025-01-01,1,950.0,85.99,950.0,0.0,0.0,0.0,cancelled,TWD,synthetic
O00006146,U006960,P00170,2025-01-01,1,343.0,16.71,343.0,0.0,326.29,204.23,completed,TWD,synthetic
O00007839,U003814,P00066,2025-01-01,1,474.0,17.2,474.0,0.0,456.8,252.28,completed,TWD,synthetic
O00008296,U008066,P00039,2025-01-01,1,572.0,24.62,572.0,0.0,547.38,275.91,completed,TWD,synthetic
O00008648,U005841,P00119,2025-01-01,1,615.0,5.77,615.0,0.0,609.23,295.83,completed,TWD,synthetic
O00008751,U000877,P00208,2025-01-01,1,415.0,31.01,415.0,0.0,383.99,245.25,completed,TWD,synthetic
O00008865,U011175,P00093,2025-01-01,1,255.0,17.26,255.0,0.0,237.74,146.63,completed,TWD,synthetic
O00008940,U007274,P00771,2025-01-01,1,623.0,28.29,623.0,0.0,594.71,349.65,completed,TWD,synthetic
O00009909,U007981,P00497,2025-01-01,3,461.0,45.6,1383.0,0.0,1337.4,841.75,completed,TWD,synthetic
O00010143,U011656,P00728,2025-01-01,1,437.0,23.96,437.0,0.0,413.04,263.75,completed,TWD,synthetic
O00012218,U006379,P00257,2025-01-01,1,229.0,19.36,229.0,0.0,209.64,146.73,completed,TWD,synthetic
O00012382,U006683,P00432,2025-01-01,1,1162.0,80.97,1162.0,0.0,1081.03,634.76,completed,TWD,synthetic
O00012886,U002771,P00514,2025-01-01,1,455.0,41.99,455.0,0.0,413.01,221.11,completed,TWD,synthetic
O00012922,U002915,P00635,2025-01-01,1,903.0,54.21,903.0,0.0,848.79,498.65,completed,TWD,synthetic
O00013184,U010300,P00139,2025-01-01,2,378.0,60.58,756.0,0.0,695.42,461.15,completed,TWD,synthetic
O00014281,U003038,P00299,2025-01-01,2,1318.0,61.37,2636.0,0.0,2574.63,1461.61,completed,TWD,synthetic
O00014788,U010070,P00403,2025-01-01,1,371.0,23.82,371.0,347.18,0.0,0.0,refunded,TWD,synthetic
O00014802,U010644,P00571,2025-01-01,1,530.0,32.84,530.0,0.0,497.16,297.09,completed,TWD,synthetic
O00016027,U002429,P00224,2025-01-01,2,182.0,46.59,364.0,0.0,317.41,239.06,completed,TWD,synthetic
O00017278,U010109,P00404,2025-01-01,2,352.0,0.0,704.0,0.0,704.0,415.21,completed,TWD,synthetic
O00017398,U001134,P00565,2025-01-01,1,1111.0,84.42,1111.0,0.0,1026.58,520.19,completed,TWD,synthetic
O00017717,U003034,P00165,2025-01-01,1,790.0,40.49,790.0,0.0,749.51,380.15,completed,TWD,synthetic
O00018467,U003827,P00545,2025-01-01,1,503.0,8.99,503.0,0.0,494.01,284.43,completed,TWD,synthetic
O00019369,U011974,P00654,2025-01-01,2,601.0,64.5,1202.0,0.0,1137.5,558.11,completed,TWD,synthetic
O00019571,U001610,P00050,2025-01-01,2,392.0,22.31,784.0,0.0,761.69,446.35,completed,TWD,synthetic
O00019770,U009497,P00535,2025-01-01,1,399.0,19.98,399.0,0.0,379.02,246.46,completed,TWD,synthetic
