month,net_sales,orders,cost,users,gross_profit,aov,mom
2025-01,2881061.97,4625,1689774.18,3692,1191287.7900000003,622.9323178378379,
2025-02,2941746.74,4669,1762012.25,3711,1179734.4900000002,630.0592717926752,0.021063333809511864
2025-03,2854004.32,4451,1681757.55,3578,1172246.7699999998,641.2051943383509,-0.029826639665112786
2025-04,2728648.36,4320,1600963.21,3488,1127685.15,631.6315648148147,-0.04392283470685143
2025-05,2988623.84,4623,1752277.8,3654,1236346.0399999998,646.4684923210036,0.09527628543532818
2025-06,3038223.42,4833,1818427.69,3780,1219795.73,628.6413035381751,0.016596126731024174
2025-07,2778693.67,4374,1634091.79,3554,1144601.88,635.275187471422,-0.08542154875496288
2025-08,2827329.46,4479,1657954.38,3641,1169375.08,631.2412279526679,0.017503113252494762
2025-09,3029803.44,4861,1812105.77,3846,1217697.67,623.2880970993623,0.07161315399019674
2025-10,2805098.46,4469,1644626.3,3602,1160472.16,627.6792257775788,-0.07416487057655463
2025-11,3130169.72,5036,1870335.41,3954,1259834.3100000003,621.5587212073074,0.11588586448405813
2025-12,3166212.9,5150,1905377.14,4026,1260835.76,614.7986213592233,0.011514768598553715
