product_id,product_name,category,hot_score,opportunity_score,price,net_sales,units,cost,gross_profit,gross_margin
P00596,Wellness Essential 0596,Wellness,82.6,77.51,995,314374.01,336,183450.34,130923.67000000001,0.416458313459182
P00077,Wellness Essential 0077,Wellness,73.62,72.68,1232,300690.1,261,176686.75,124003.34999999998,0.41239585207494356
P00615,Skincare Essential 0615,Skincare,92.44,59.7,760,290144.58,406,175748.51,114396.07,0.394272641591306
P00589,Wellness Essential 0589,Wellness,88.28,77.83,866,265148.13,327,155793.09,109355.04000000001,0.412429987720449
P00359,Skincare Essential 0359,Skincare,88.81,60.66,635,255775.03,430,155468.7,100306.32999999999,0.3921662329587059
P00278,Makeup Essential 0278,Makeup,84.14,67.53,548,238636.43,467,133289.45,105346.97999999998,0.4414538886623471
P00728,Hair Care Essential 0728,Hair Care,93.61,91.11,437,217431.47,531,143890.7,73540.76999999999,0.33822505086315235
P00288,Wellness Essential 0288,Wellness,81.92,77.02,766,208074.37,290,122134.15,85940.22,0.41302645779968
P00352,Hair Care Essential 0352,Hair Care,70.3,74.37,950,187961.07,211,124072.37,63888.70000000001,0.33990389605677396
P00797,Fashion Accessories Essential 0797,Fashion Accessories,71.27,63.58,1039,185350.94,191,95012.04,90338.90000000001,0.4873938055021464
P00554,Wellness Essential 0554,Wellness,53.91,59.7,1662,181465.04,116,106540.14,74924.90000000001,0.41288889584462113
P00639,Wellness Essential 0639,Wellness,75.1,68.03,1101,172484.29,167,100795.63,71688.66,0.4156242867104013
P00266,Fashion Accessories Essential 0266,Fashion Accessories,58.51,53.71,1357,169809.61,134,86963.2,82846.40999999999,0.48787821843534057
P00534,Wellness Essential 0534,Wellness,66.32,64.32,1161,169219.16,157,100164.17,69054.99,0.40808020793862826
P00148,Fashion Accessories Essential 0148,Fashion Accessories,67.09,65.33,748,158354.34,226,81261.97,77092.37,0.48683458880887004
P00097,Wellness Essential 0097,Wellness,58.19,57.54,1477,158005.97,114,92317.92,65688.05,0.4157314435650754
P00532,Wellness Essential 0532,Wellness,52.93,55.4,1266,157205.81,133,92875.21,64330.59999999999,0.4092126111623991
P00744,Makeup Essential 0744,Makeup,76.6,67.86,582,153712.63,281,84796.95,68915.68000000001,0.44834103742808906
P00355,Wellness Essential 0355,Wellness,62.57,60.76,991,152044.71,164,89341.2,62703.509999999995,0.41240178629036156
P00421,Fashion Accessories Essential 0421,Fashion Accessories,63.91,58.74,1340,151243.8,120,77126.69,74117.10999999999,0.49005056736210006
P00196,Wellness Essential 0196,Wellness,64.82,60.94,1118,150980.1,144,89078.31,61901.79000000001,0.40999966220713857
P00440,Skincare Essential 0440,Skincare,61.98,44.83,606,150821.71,266,92035.79,58785.92,0.3897709421276287
P00095,Hair Care Essential 0095,Hair Care,66.24,70.81,998,150238.11,159,98555.77,51682.33999999998,0.34400286318830814
P00065,Wellness Essential 0065,Wellness,65.18,64.79,1093,148625.59,146,87914.41,60711.17999999999,0.4084840302400145
P00549,Wellness Essential 0549,Wellness,53.74,60.25,1280,143011.71,119,83786.88,59224.82999999999,0.4141257383748505
P00706,Fashion Accessories Essential 0706,Fashion Accessories,68.79,63.63,695,142423.11,219,73165.33,69257.77999999998,0.4862818962456303
P00296,Feminine Care Essential 0296,Feminine Care,82.12,85.39,409,141154.31,368,99340.56,41813.75,0.29622722820153347
P00773,Fashion Accessories Essential 0773,Fashion Accessories,74.63,67.58,762,138058.01,194,70986.79,67071.22000000002,0.48581911328433613
