user_id,last_order,frequency,monetary,recency,r_score,f_score,m_score,rfm_segment
U000001,2025-10-09,10,8489.630000000001,83,2,5,5,Loyal
U000002,2025-12-26,6,6918.15,5,5,4,5,Champions
U000003,2025-09-01,4,2921.68,121,2,2,3,Hibernating
U000004,2025-12-05,9,5288.06,26,4,5,5,Champions
U000005,2025-07-25,5,3112.69,159,1,3,3,At Risk
U000006,2025-12-11,3,2325.62,20,4,2,3,New & Promising
U000007,2025-07-22,5,5739.969999999999,162,1,3,5,At Risk
U000008,2025-12-11,2,741.9100000000001,20,4,1,1,New & Promising
U000009,2025-12-01,7,5269.38,30,4,4,5,Champions
U000010,2025-01-26,1,657.26,339,1,1,1,Hibernating
U000011,2025-12-16,3,2546.45,15,5,2,3,New & Promising
U000012,2025-11-09,9,7442.8,52,3,5,5,Loyal
U000013,2025-11-09,2,5119.73,52,3,1,5,Potential Loyalists
U000014,2025-10-14,2,1686.4,78,2,1,2,Hibernating
U000015,2025-09-07,2,596.98,115,2,1,1,Hibernating
U000017,2025-10-29,3,937.8599999999999,63,3,2,1,Potential Loyalists
U000018,2025-08-10,4,5824.48,143,1,2,5,Hibernating
U000019,2025-11-14,2,1568.93,47,3,1,2,Potential Loyalists
U000020,2025-07-15,4,2778.7000000000003,169,1,2,3,Hibernating
U000021,2025-06-21,6,2010.68,193,1,4,2,Loyal
U000022,2025-08-26,7,5873.23,127,2,4,5,Loyal
U000023,2025-09-24,6,3893.0699999999997,98,2,4,4,Loyal
U000024,2025-11-06,1,414.11,55,3,1,1,Potential Loyalists
U000025,2025-12-29,4,1890.99,2,5,2,2,New & Promising
U000026,2025-11-10,2,1064.54,51,3,1,1,Potential Loyalists
U000027,2025-09-15,5,3757.57,107,2,3,4,At Risk
U000028,2025-12-14,3,2202.27,17,5,2,3,New & Promising
U000030,2025-12-27,6,4126.22,4,5,4,4,Champions
U000031,2025-06-28,1,223.11,186,1,1,1,Hibernating
U000032,2025-09-03,8,4138.7300000000005,119,2,5,4,Loyal
U000033,2025-11-16,4,1534.4299999999998,45,3,2,2,Potential Loyalists
U000034,2025-11-28,7,3024.74,33,4,4,3,Champions
U000035,2025-12-27,2,3711.7700000000004,4,5,1,4,New & Promising
U000036,2025-12-08,7,4060.17,23,4,4,4,Champions
U000037,2025-10-12,8,3905.36,80,2,5,4,Loyal
U000038,2025-12-19,11,8421.22,12,5,5,5,Champions
U000039,2025-11-03,3,1546.29,58,3,2,2,Potential Loyalists
U000040,2025-08-13,5,2302.8399999999997,140,1,3,3,At Risk
U000041,2025-12-27,10,4492.360000000001,4,5,5,4,Champions
U000042,2025-10-27,3,1979.95,65,3,2,2,Potential Loyalists
U000043,2025-09-25,5,2242.27,97,2,3,3,At Risk
U000044,2025-12-18,5,3087.63,13,5,3,3,Potential Loyalists
U000045,2025-12-13,16,11749.039999999999,18,4,5,5,Champions
U000046,2025-12-27,4,1878.56,4,5,2,2,New & Promising
U000047,2025-09-04,1,768.74,118,2,1,1,Hibernating
U000048,2025-12-09,4,2960.8500000000004,22,4,2,3,New & Promising
U000049,2025-11-01,11,5714.36,60,3,5,5,Loyal
U000050,2025-10-03,7,3673.3500000000004,89,2,4,4,Loyal
U000051,2025-12-21,12,8140.57,10,5,5,5,Champions
U000052,2025-12-26,9,4105.99,5,5,5,4,Champions
U000053,2025-12-06,11,6412.9,25,4,5,5,Champions
U000054,2025-09-26,1,561.66,96,2,1,1,Hibernating
U000055,2025-08-23,3,1353.27,130,1,2,2,Hibernating
U000056,2025-10-31,10,8976.75,61,3,5,5,Loyal
U000057,2025-09-23,4,1525.1100000000001,99,2,2,2,Hibernating
U000058,2025-11-14,5,2205.5299999999997,47,3,3,3,Potential Loyalists
U000059,2025-09-16,4,1651.9,106,2,2,2,Hibernating
U000060,2025-11-16,6,2164.7200000000003,45,3,4,3,Loyal
U000061,2025-09-30,6,4123.71,92,2,4,4,Loyal
U000062,2025-12-11,15,7319.16,20,4,5,5,Champions
U000064,2025-09-06,3,1718.47,116,2,2,2,Hibernating
U000065,2025-11-04,4,3568.46,57,3,2,4,Potential Loyalists
U000066,2025-09-23,4,4145.69,99,2,2,4,Hibernating
U000067,2025-09-11,3,1888.85,111,2,2,2,Hibernating
U000068,2025-12-21,4,3507.36,10,5,2,4,New & Promising
U000069,2025-11-07,4,3270.2700000000004,54,3,2,4,Potential Loyalists
U000070,2025-12-14,4,1744.3799999999999,17,5,2,2,New & Promising
U000071,2025-03-10,2,387.0,296,1,1,1,Hibernating
U000072,2025-08-15,2,1489.1999999999998,138,1,1,2,Hibernating
U000073,2025-11-20,6,3414.22,41,3,4,4,Loyal
U000074,2025-12-13,8,4651.32,18,4,5,4,Champions
U000075,2025-12-04,8,4661.25,27,4,5,4,Champions
U000076,2025-12-22,4,2963.8500000000004,9,5,2,3,New & Promising
U000077,2025-09-26,1,411.76,96,2,1,1,Hibernating
U000078,2025-12-07,5,3389.71,24,4,3,4,Potential Loyalists
U000079,2025-12-18,3,2726.37,13,5,2,3,New & Promising
U000080,2025-12-28,4,2494.64,3,5,2,3,New & Promising
U000081,2025-12-26,5,2912.71,5,5,3,3,Potential Loyalists
U000082,2025-09-14,3,1471.0900000000001,108,2,2,2,Hibernating
U000083,2025-07-21,5,3009.3,163,1,3,3,At Risk
U000084,2025-12-08,1,267.7,23,4,1,1,New & Promising
U000085,2025-11-02,5,3401.35,59,3,3,4,Potential Loyalists
U000086,2025-10-04,6,4786.91,88,2,4,5,Loyal
U000087,2025-03-16,2,2594.87,290,1,1,3,Hibernating
U000088,2025-12-13,5,2401.4,18,4,3,3,Potential Loyalists
U000089,2025-11-26,12,6745.83,35,4,5,5,Champions
U000090,2025-11-27,4,2948.91,34,4,2,3,New & Promising
U000091,2025-10-10,6,2884.27,82,2,4,3,Loyal
U000092,2025-12-03,2,1283.73,28,4,1,2,New & Promising
U000093,2025-07-03,2,640.28,181,1,1,1,Hibernating
U000094,2025-12-18,4,3184.98,13,5,2,3,New & Promising
U000095,2025-12-13,7,3637.1,18,4,4,4,Champions
U000096,2025-02-15,1,315.72,319,1,1,1,Hibernating
U000097,2025-11-15,5,2809.76,46,3,3,3,Potential Loyalists
U000098,2025-12-10,10,5188.49,21,4,5,5,Champions
U000099,2025-12-29,5,3738.9300000000003,2,5,3,4,Potential Loyalists
U000100,2025-12-07,4,3185.94,24,4,2,3,New & Promising
U000101,2025-05-01,2,864.69,244,1,1,1,Hibernating
U000102,2025-08-29,1,228.5,124,2,1,1,Hibernating
U000104,2025-11-14,10,4031.17,47,3,5,4,Loyal
U000105,2025-12-13,6,3503.79,18,4,4,4,Champions
U000106,2025-01-23,1,582.79,342,1,1,1,Hibernating
U000107,2025-12-13,9,5131.72,18,4,5,5,Champions
U000108,2025-11-27,6,5451.21,34,4,4,5,Champions
U000110,2025-06-10,2,709.46,204,1,1,1,Hibernating
U000111,2025-12-12,8,6031.45,19,4,5,5,Champions
U000112,2025-11-29,5,3201.8199999999997,32,4,3,4,Potential Loyalists
U000113,2025-10-30,8,5484.35,62,3,5,5,Loyal
U000115,2025-09-16,3,1417.8000000000002,106,2,2,2,Hibernating
U000116,2025-12-07,4,2307.17,24,4,2,3,New & Promising
U000117,2025-12-19,12,7979.41,12,5,5,5,Champions
U000118,2025-09-27,5,3322.36,95,2,3,4,At Risk
U000119,2025-12-04,8,5178.26,27,4,5,5,Champions
U000120,2025-12-18,7,4532.75,13,5,4,4,Champions
U000121,2025-11-03,4,6890.469999999999,58,3,2,5,Potential Loyalists
U000122,2025-11-17,12,6490.44,44,3,5,5,Loyal
U000123,2025-09-12,2,527.25,110,2,1,1,Hibernating
U000124,2025-12-03,4,1987.33,28,4,2,2,New & Promising
U000125,2025-12-18,6,2749.75,13,5,4,3,Champions
U000126,2025-08-27,3,1370.46,126,2,2,2,Hibernating
U000127,2025-07-19,3,1959.12,165,1,2,2,Hibernating
U000128,2025-11-04,6,2055.3,57,3,4,2,Loyal
U000129,2025-12-26,4,3145.78,5,5,2,3,New & Promising
U000130,2025-01-17,1,2049.73,348,1,1,2,Hibernating
U000131,2025-09-20,3,2257.3,102,2,2,3,Hibernating
U000133,2025-09-14,2,1163.96,108,2,1,1,Hibernating
U000134,2025-11-17,4,2125.94,44,3,2,3,Potential Loyalists
U000135,2025-12-27,10,8861.19,4,5,5,5,Champions
U000136,2025-04-25,1,1591.53,250,1,1,2,Hibernating
U000137,2025-12-24,12,7033.83,7,5,5,5,Champions
U000138,2025-08-03,3,1148.16,150,1,2,1,Hibernating
U000139,2025-12-10,4,1631.71,21,4,2,2,New & Promising
U000140,2025-08-26,7,4470.3,127,2,4,4,Loyal
U000141,2025-11-15,3,2167.38,46,3,2,3,Potential Loyalists
U000142,2025-09-17,2,1074.3400000000001,105,2,1,1,Hibernating
U000143,2025-09-22,2,568.8,100,2,1,1,Hibernating
